"","rows","cols","parts","angles","response"
"1","1","1","D1","0",996.76
"2","1","2","C1","pi/2",1022.78
"3","1","3","B1","3pi/4",1009.72
"4","1","4","A1","pi/4",1016.04
"5","2","1","B1","pi/4",1010.15
"6","2","2","A1","3pi/4",1017.11
"7","2","3","D1","pi/2",994.97
"8","2","4","C1","0",1022.67
"9","3","1","A1","pi/2",1017.77
"10","3","2","B1","0",1007.08
"11","3","3","C1","pi/4",1023.14
"12","3","4","D1","3pi/4",999.86
"13","4","1","C1","3pi/4",1022.69
"14","4","2","D1","pi/4",997.13
"15","4","3","A1","0",1019.29
"16","4","4","B1","pi/2",1003.22
"17","1","1","D1","0",993.57
"18","1","2","C1","pi/2",1020.84
"19","1","3","B1","3pi/4",1011.84
"20","1","4","A1","pi/4",1016.02
"21","2","1","B1","pi/4",1011.16
"22","2","2","A1","3pi/4",1018.98
"23","2","3","D1","pi/2",996.67
"24","2","4","C1","0",1020.34
"25","3","1","A1","pi/2",1017.52
"26","3","2","B1","0",1010.87
"27","3","3","C1","pi/4",1023.61
"28","3","4","D1","3pi/4",998.13
"29","4","1","C1","3pi/4",1022.43
"30","4","2","D1","pi/4",996.03
"31","4","3","A1","0",1018.03
"32","4","4","B1","pi/2",1006.83
"33","1","1","D1","0",996.78
"34","1","2","C1","pi/2",1022.11
"35","1","3","B1","3pi/4",1012
"36","1","4","A1","pi/4",1020.58
"37","2","1","B1","pi/4",1010.97
"38","2","2","A1","3pi/4",1016.32
"39","2","3","D1","pi/2",996.15
"40","2","4","C1","0",1022.67
"41","3","1","A1","pi/2",1018.96
"42","3","2","B1","0",1007.18
"43","3","3","C1","pi/4",1023.72
"44","3","4","D1","3pi/4",998.24
"45","4","1","C1","3pi/4",1023.5
"46","4","2","D1","pi/4",998.41
"47","4","3","A1","0",1016.08
"48","4","4","B1","pi/2",1007.4
"49","1","1","D2","0",1003.77
"50","1","2","C2","pi/2",996.98
"51","1","3","B2","3pi/4",992.52
"52","1","4","A2","pi/4",1004.91
"53","2","1","B2","pi/4",991.12
"54","2","2","A2","3pi/4",1003.98
"55","2","3","D2","pi/2",1009.8
"56","2","4","C2","0",995.99
"57","3","1","A2","pi/2",1003.64
"58","3","2","B2","0",993.99
"59","3","3","C2","pi/4",995.86
"60","3","4","D2","3pi/4",1006.97
"61","4","1","C2","3pi/4",995.36
"62","4","2","D2","pi/4",1006.64
"63","4","3","A2","0",1005.48
"64","4","4","B2","pi/2",988.54
"65","1","1","D2","0",1009.39
"66","1","2","C2","pi/2",994.78
"67","1","3","B2","3pi/4",990.26
"68","1","4","A2","pi/4",1004.85
"69","2","1","B2","pi/4",992.16
"70","2","2","A2","3pi/4",1004.56
"71","2","3","D2","pi/2",1009.92
"72","2","4","C2","0",995.92
"73","3","1","A2","pi/2",1003.22
"74","3","2","B2","0",993.76
"75","3","3","C2","pi/4",997.42
"76","3","4","D2","3pi/4",1007.94
"77","4","1","C2","3pi/4",993.59
"78","4","2","D2","pi/4",1006.02
"79","4","3","A2","0",1004.52
"80","4","4","B2","pi/2",989.95
"81","1","1","D2","0",1007.42
"82","1","2","C2","pi/2",994.17
"83","1","3","B2","3pi/4",990.97
"84","1","4","A2","pi/4",1005.81
"85","2","1","B2","pi/4",994.22
"86","2","2","A2","3pi/4",1003.64
"87","2","3","D2","pi/2",1009.96
"88","2","4","C2","0",994.82
"89","3","1","A2","pi/2",1003.22
"90","3","2","B2","0",996.37
"91","3","3","C2","pi/4",997.95
"92","3","4","D2","3pi/4",1009.64
"93","4","1","C2","3pi/4",995.21
"94","4","2","D2","pi/4",1006
"95","4","3","A2","0",1003.99
"96","4","4","B2","pi/2",990.98
